dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,2,NAR,0.3,alcohol,RF,0.34375,0.1630764551568921,0.43576264640688667
winequality-red.csv,2,NAR,0.3,target,LinearSVM,0.553125,0.21232468280733138,0.5017046210005922
winequality-red.csv,2,NAR,0.3,alcohol,LinearSVM,0.1875,0.10218055618192416,0.259512310439978
winequality-red.csv,2,NAR,0.3,target,KNN,0.403125,0.18049468325592125,0.41799252412881527
winequality-red.csv,2,NAR,0.3,alcohol,KNN,0.271875,0.12963688642101517,0.3316556674457618
winequality-red.csv,2,NAR,0.5,target,RF,0.453125,0.21949742795811683,0.49115626007852536
winequality-red.csv,2,NAR,0.5,alcohol,RF,0.084375,0.054413101415510604,0.15220776412863143
winequality-red.csv,2,NAR,0.5,target,LinearSVM,0.534375,0.2501114552251191,0.48925903462454157
winequality-red.csv,2,NAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,2,NAR,0.5,target,KNN,0.2625,0.13318177607137172,0.32162090269768595
winequality-red.csv,2,NAR,0.5,alcohol,KNN,0.121875,0.06256919213308666,0.18812402945262988
winequality-red.csv,3,NNAR,0.1,target,RF,0.640625,0.38790770155082416,0.6291811352371296
winequality-red.csv,3,NNAR,0.1,alcohol,RF,0.60625,0.3176827873028994,0.6005076293118345
winequality-red.csv,3,NNAR,0.1,target,LinearSVM,0.575,0.22998866763801198,0.5363865954346771
winequality-red.csv,3,NNAR,0.1,alcohol,LinearSVM,0.575,0.22902040243873834,0.5350217771848628
winequality-red.csv,3,NNAR,0.1,target,KNN,0.4875,0.2447616389880122,0.46865863934086943
winequality-red.csv,3,NNAR,0.1,alcohol,KNN,0.4875,0.25362753418198963,0.47167524752475243
winequality-red.csv,3,NNAR,0.2,target,RF,0.603125,0.32940936056207115,0.5932936119426447
winequality-red.csv,3,NNAR,0.2,alcohol,RF,0.54375,0.28354436057571786,0.5679734414156264
winequality-red.csv,3,NNAR,0.2,target,LinearSVM,0.56875,0.21585110943182773,0.5231214784764481
winequality-red.csv,3,NNAR,0.2,alcohol,LinearSVM,0.571875,0.19196291124772533,0.5313454173012426
winequality-red.csv,3,NNAR,0.2,target,KNN,0.4875,0.27966286916372973,0.48254292680927796
winequality-red.csv,3,NNAR,0.2,alcohol,KNN,0.434375,0.24417163730522035,0.45822646460442956
winequality-red.csv,3,NNAR,0.3,target,RF,0.5875,0.3106140014885262,0.5802371170859765
winequality-red.csv,3,NNAR,0.3,alcohol,RF,0.384375,0.23368998142284786,0.47410145710921
winequality-red.csv,3,NNAR,0.3,target,LinearSVM,0.56875,0.20925320413375018,0.5197844817298742
winequality-red.csv,3,NNAR,0.3,alcohol,LinearSVM,0.21875,0.09839008917349933,0.2881650607457059
winequality-red.csv,3,NNAR,0.3,target,KNN,0.44375,0.21639822595704947,0.42866071428571423
winequality-red.csv,3,NNAR,0.3,alcohol,KNN,0.31875,0.21718919846836618,0.35940813968758156
winequality-red.csv,3,NNAR,0.5,target,RF,0.484375,0.2432891518588638,0.4976651952091732
winequality-red.csv,3,NNAR,0.5,alcohol,RF,0.08125,0.05639081029237092,0.14111866969009826
winequality-red.csv,3,NNAR,0.5,target,LinearSVM,0.584375,0.22795592915455928,0.5398025633042757
winequality-red.csv,3,NNAR,0.5,alcohol,LinearSVM,0.003125,0.002070393374741201,0.006159420289855073
winequality-red.csv,3,NNAR,0.5,target,KNN,0.3625,0.20598389856611507,0.387398848853968
winequality-red.csv,3,NNAR,0.5,alcohol,KNN,0.153125,0.10442701066592254,0.22951114952750445
winequality-red.csv,3,NCAR,0.1,target,RF,0.63125,0.3805128752311851,0.6197136416986769
winequality-red.csv,3,NCAR,0.1,alcohol,RF,0.6125,0.3156050845706018,0.6040846545695684
winequality-red.csv,3,NCAR,0.1,target,LinearSVM,0.58125,0.21327003023431593,0.5293827947845805
winequality-red.csv,3,NCAR,0.1,alcohol,LinearSVM,0.584375,0.21379983994727678,0.530756602174834
winequality-red.csv,3,NCAR,0.1,target,KNN,0.48125,0.223609803306131,0.46682772284996865
winequality-red.csv,3,NCAR,0.1,alcohol,KNN,0.46875,0.20279810965428346,0.46020009708286985
